date,city,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm
2021-01-01,Greater Noida,9.8,67.2,7.8,39.2
2021-01-02,Greater Noida,-0.6,70.0,7.7,0.0
2021-01-03,Greater Noida,10.5,60.2,7.6,0.0
2021-01-04,Greater Noida,10.8,62.8,7.2,0.0
2021-01-05,Greater Noida,6.9,66.6,6.4,0.0
2021-01-06,Greater Noida,7.8,63.8,9.7,0.0
2021-01-07,Greater Noida,9.9,59.1,5.5,0.0
2021-01-08,Greater Noida,9.4,65.2,6.9,0.0
2021-01-09,Greater Noida,9.9,65.8,7.0,0.0
2021-01-10,Greater Noida,8.8,63.8,7.6,0.0
2021-01-11,Greater Noida,11.3,64.2,6.4,0.0
2021-01-12,Greater Noida,11.3,62.3,7.6,0.0
2021-01-13,Greater Noida,10.4,69.1,6.9,0.0
2021-01-14,Greater Noida,12.0,59.6,4.8,0.0
2021-01-15,Greater Noida,11.2,60.7,7.2,30.8
2021-01-16,Greater Noida,0.9,63.1,5.6,0.0
2021-01-17,Greater Noida,11.3,66.5,4.7,0.0
2021-01-18,Greater Noida,9.5,56.9,7.6,0.0
2021-01-19,Greater Noida,12.2,57.6,8.2,0.0
2021-01-20,Greater Noida,11.1,54.6,8.3,0.0
2021-01-21,Greater Noida,11.0,62.8,8.4,0.0
2021-01-22,Greater Noida,10.4,58.1,4.7,0.0
2021-01-23,Greater Noida,13.3,60.9,5.6,0.0
2021-01-24,Greater Noida,11.5,65.0,10.7,0.0
2021-01-25,Greater Noida,11.2,59.7,6.2,0.0
2021-01-26,Greater Noida,11.5,63.1,8.7,0.0
2021-01-27,Greater Noida,12.9,60.9,6.8,0.0
2021-01-28,Greater Noida,12.8,64.7,8.0,0.0
2021-01-29,Greater Noida,13.1,63.8,7.0,10.6
2021-01-30,Greater Noida,10.2,59.1,8.8,0.0
2021-01-31,Greater Noida,15.8,61.0,8.3,0.0
2021-02-01,Greater Noida,12.4,65.8,7.4,0.0
2021-02-02,Greater Noida,12.4,63.1,6.6,0.0
2021-02-03,Greater Noida,12.2,55.8,8.6,0.0
2021-02-04,Greater Noida,14.4,63.9,6.4,0.0
2021-02-05,Greater Noida,15.3,56.8,9.0,0.0
2021-02-06,Greater Noida,13.7,66.7,12.3,0.0
2021-02-07,Greater Noida,12.9,65.0,10.4,0.0
2021-02-08,Greater Noida,13.1,62.0,9.5,0.0
