date,city,temperature_c,humidity_pct,wind_speed_kmh,precipitation_mm,day_of_year,month,season_sin,season_cos,temp_lag_1,humidity_lag_1,temp_lag_2,humidity_lag_2,temp_lag_3,humidity_lag_3,temp_roll_mean_7,humidity_roll_mean_7,wind_roll_mean_7,target_next_day_temp
2021-01-07,Greater Noida,9.9,59.1,5.5,0.0,7,1,0.1201261651823505,0.9927586335250793,7.8,63.8,6.9,66.6,10.8,62.8,7.871428571428572,64.24285714285715,7.414285714285714,9.4
2021-01-08,Greater Noida,9.4,65.2,6.9,0.0,8,1,0.13718540405660057,0.9905453876091833,9.9,59.1,7.8,63.8,6.9,66.6,7.814285714285714,63.95714285714286,7.285714285714286,9.9
2021-01-09,Greater Noida,9.9,65.8,7.0,0.0,9,1,0.1542040475626894,0.988039023376751,9.4,65.2,9.9,59.1,7.8,63.8,9.314285714285715,63.357142857142854,7.185714285714285,8.8
2021-01-10,Greater Noida,8.8,63.8,7.6,0.0,10,1,0.17117705961019986,0.985240282501282,9.9,65.8,9.4,65.2,9.9,59.1,9.071428571428571,63.87142857142857,7.185714285714285,11.3
2021-01-11,Greater Noida,11.3,64.2,6.4,0.0,11,1,0.18809941761179758,0.9821499931752291,8.8,63.8,9.9,65.8,9.4,65.2,9.142857142857142,64.07142857142857,7.071428571428571,11.3
2021-01-12,Greater Noida,11.3,62.3,7.6,0.0,12,1,0.20496611396949532,0.9787690698649216,11.3,64.2,8.8,63.8,9.9,65.8,9.771428571428572,63.457142857142856,7.242857142857142,10.4
2021-01-13,Greater Noida,10.4,69.1,6.9,0.0,13,1,0.22177215755648186,0.975098513039961,11.3,62.3,11.3,64.2,8.8,63.8,10.142857142857142,64.21428571428571,6.8428571428571425,12.0
2021-01-14,Greater Noida,12.0,59.6,4.8,0.0,14,1,0.23851257519407648,0.9711394088771653,10.4,69.1,11.3,62.3,11.3,64.2,10.442857142857145,64.28571428571429,6.742857142857143,11.2
2021-01-15,Greater Noida,11.2,60.7,7.2,30.8,15,1,0.2551824131233728,0.9668929289391521,12.0,59.6,10.4,69.1,11.3,62.3,10.700000000000001,63.64285714285713,6.785714285714286,0.9
2021-01-16,Greater Noida,0.9,63.1,5.6,0.0,16,1,0.2717767384711357,0.9623603298276545,11.2,60.7,12.0,59.6,10.4,69.1,9.414285714285713,63.25714285714286,6.585714285714286,11.3
2021-01-17,Greater Noida,11.3,66.5,4.7,0.0,17,1,0.2882906407095177,0.9575429528116719,0.9,63.1,11.2,60.7,12.0,59.6,9.771428571428572,63.642857142857146,6.171428571428572,9.5
2021-01-18,Greater Noida,9.5,56.9,7.6,0.0,18,1,0.3047192331091634,0.9524422234305676,11.3,66.5,0.9,63.1,11.2,60.7,9.514285714285716,62.6,6.3428571428571425,12.2
2021-01-19,Greater Noida,12.2,57.6,8.2,0.0,19,1,0.321057654185271,0.9470596510722283,9.5,56.9,11.3,66.5,0.9,63.1,9.642857142857142,61.92857142857143,6.428571428571429,11.1
2021-01-20,Greater Noida,11.1,54.6,8.3,0.0,20,1,0.3373010691361842,0.9413968285264122,12.2,57.6,9.5,56.9,11.3,66.5,9.742857142857144,59.857142857142854,6.628571428571429,11.0
2021-01-21,Greater Noida,11.0,62.8,8.4,0.0,21,1,0.3534446712740877,0.9354554315134164,11.1,54.6,12.2,57.6,9.5,56.9,9.6,60.31428571428571,7.142857142857143,10.4
2021-01-22,Greater Noida,10.4,58.1,4.7,0.0,22,1,0.3694836834473831,0.9292372181882051,11.0,62.8,11.1,54.6,12.2,57.6,9.485714285714286,59.94285714285714,6.785714285714286,13.3
2021-01-23,Greater Noida,13.3,60.9,5.6,0.0,23,1,0.38541335945432564,0.9227440286201427,10.4,58.1,11.0,62.8,11.1,54.6,11.257142857142858,59.628571428571426,6.785714285714286,11.5
2021-01-24,Greater Noida,11.5,65.0,10.7,0.0,24,1,0.4012289854475009,0.9159777842484877,13.3,60.9,10.4,58.1,11.0,62.8,11.285714285714286,59.41428571428571,7.642857142857143,11.2
2021-01-25,Greater Noida,11.2,59.7,6.2,0.0,25,1,0.4169258813287287,0.908940487313808,11.5,65.0,13.3,60.9,10.4,58.1,11.528571428571427,59.814285714285724,7.442857142857143,11.5
2021-01-26,Greater Noida,11.5,63.1,8.7,0.0,26,1,0.4324994021339788,0.901634220265486,11.2,59.7,11.5,65.0,13.3,60.9,11.428571428571429,60.6,7.514285714285713,12.9
2021-01-27,Greater Noida,12.9,60.9,6.8,0.0,27,1,0.44794493940789115,0.8940611451454876,11.5,63.1,11.2,59.7,11.5,65.0,11.685714285714285,61.5,7.3,12.8
